Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::bitwise_not,"4,8,1",,8.97,17.04,0,1.28025,0,0
empty_tensor,,,3.87,3.87,0,0,0,0
aclnnBitwiseNot,,,4.2,4.2,1.28025,1.28025,0,0
aten::masked_fill,"4,8,5120;
4,8,1;
",,6.98,61.34,0,14.180250000000001,0,0
aten::expand,"4,8,1;
;
",,2.76,5.47,0,0,0,0
aten::as_strided,"4,8,1;
;
;
",,2.71,2.71,0,0,0,0
aten::expand,"4,8,5120;
;
",,2.16,4.57,0,0,0,0
aten::as_strided,"4,8,5120;
;
;
",,2.41,2.41,0,0,0,0
aten::clone,"4,8,5120;
",,2.48,32.93,0,1.22,0,0
empty_tensor,,,4.08,4.08,0,0,0,0
aten::copy_,"4,8,5120;
4,8,5120;
",,22.21,26.37,0,1.22,0,0
aclnnInplaceCopy,,,4.16,4.16,1.22,1.22,0,0
aten::masked_fill_,"4,8,5120;
4,8,1;
",,9.82,11.39,0,12.96025,0,0
aclnnInplaceMaskedFillScalar,,,1.57,1.57,12.96025,12.96025,0,0
c10d::allreduce_,";
;
;
;
;
",,57.39,76.3,0,15277.22525,0,0
record_event,,,7.46,7.46,0.02,0.02,0,0
wait_event,,,2.73,2.73,0.02,0.02,0,0
HcclAllreduce,"4,8,5120",,3.14,4.35,0,15277.14525,0,0
HcclAllreduce,,,1.21,1.21,15277.14525,15277.14525,0,0
record_event,,,2.54,2.54,0.02,0.02,0,0
record_event,,,1.83,1.83,0.02,0.02,0,0
wait_event,,,2.21,2.21,14547.85075,14547.85075,0,0
destroy_event,,,1.14,1.14,0,0,0,0
aten::to,"64;
;
;
;
",,2.28,2.28,0,0,0,0
aten::to,"4,8;
;
;
;
",,2.2,37.46,0,1.76,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,5.17,35.26,0,1.76,0,0
aten::empty_strided,";
;
;
;
;
",,6.87,10.02,0,0,0,0
empty_tensor,,,3.15,3.15,0,0,0,0
aten::copy_,"4,8;
4,8;
",,18.0,20.07,0,1.76,0,0
aclnnInplaceCopy,,,2.07,2.07,1.76,1.76,0,0
aten::einsum,";
;
",,15.42,66.14,0,10.12025,0,0
aten::unsqueeze,"64;
",,8.25,11.95,0,0,0,0
aten::as_strided,"64;
;
;
",,3.7,3.7,0,0,0,0
aten::unsqueeze,"64,1;
",,2.74,4.87,0,0,0,0
aten::as_strided,"64,1;
;
;
",,2.13,2.13,0,0,0,0
aten::permute,"64,1,1;
",,5.02,6.94,0,0,0,0
aten::as_strided,"64,1,1;
;
;
",,1.92,1.92,0,0,0,0
aten::unsqueeze,"4,8;
",,1.28,2.87,0,0,0,0
aten::as_strided,"4,8;
;
;
",,1.59,1.59,0,0,0,0
aten::permute,"4,8,1;
",,1.43,3.02,0,0,0,0
aten::as_strided,"4,8,1;
;
;
",,1.59,1.59,0,0,0,0
aten::mul,"1,1,64;
4,8,1",,13.77,21.07,0,10.12025,0,0
empty_tensor,,,5.44,5.44,0,0,0,0
aclnnMul,,,1.86,1.86,10.12025,10.12025,0,0
aten::cat,";
",,13.95,19.29,0,4.48,0,0
empty_tensor,,,3.7,3.7,0,0,0,0
aclnnCat,,,1.64,1.64,4.48,4.48,0,0
aten::cos,"4,8,128",,10.65,15.39,0,2.98025,0,0
empty_tensor,,,3.1,3.1,0,0,0,0
aclnnCos,,,1.64,1.64,2.98025,2.98025,0,0
aten::sin,"4,8,128",,9.46,14.68,0,3.06,0,0
empty_tensor,,,3.38,3.38,0,0,0,0
aclnnSin,,,1.84,1.84,3.06,3.06,0,0
aten::to,"4,8,128;
;
;
;
",,2.85,27.92,0,1.86,0,0
aten::_to_copy,"4,8,128;
;
;
;
;
;
",,4.36,25.07,0,1.86,0,0
aten::empty_strided,";
;
;
;
;
",,5.36,7.44,0,0,0,0
empty_tensor,,,2.08,2.08,0,0,0,0
aten::copy_,"4,8,128;
4,8,128;
",,11.14,13.27,0,1.86,0,0
aclnnInplaceCopy,,,2.13,2.13,1.86,1.86,0,0
aten::to,"4,8,128;
;
;
;
",,2.55,25.24,0,1.72,0,0
aten::_to_copy,"4,8,128;
;
;
;
;
;
",,3.83,22.69,0,1.72,0,0
aten::empty_strided,";
;
;
;
;
",,4.84,6.81,0,0,0,0
empty_tensor,,,1.97,1.97,0,0,0,0
