Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::sub,"1,544;
;
",,23.92,42.91,0,3.76,0,0
empty_tensor,,,4.23,4.23,0,0,0,0
aten::item,,,2.46,6.01,0,0,0,0
aten::_local_scalar_dense,,,3.55,3.55,0,0,0,0
aclnnSubs,,,8.75,8.75,3.76,3.76,0,0
aten::clamp_min,"1,544;
",,18.81,31.32,0,6.28,0,0
empty_tensor,,,3.16,3.16,0,0,0,0
aclnnClampMin,,,9.35,9.35,6.28,6.28,0,0
aten::lt,"1,544;
",,17.52,29.19,0,3.16,0,0
empty_tensor,,,3.75,3.75,0,0,0,0
aclnnLtScalar,,,7.92,7.92,3.16,3.16,0,0
aten::any,"1,544",,16.39,29.45,0,2.98,0,0
empty_tensor,,,4.25,4.25,0,0,0,0
aclnnAny,,,8.81,8.81,2.98,2.98,0,0
aten::is_nonzero,,,2.51,65.89,0,0,0,0
aten::item,,,1.79,63.38,0,0,0,0
aten::_local_scalar_dense,,,61.59,61.59,0,0,0,0
aten::ge,"1,544;
",,17.54,30.73,0,3.42,0,0
empty_tensor,,,4.48,4.48,0,0,0,0
aclnnGeScalar,,,8.71,8.71,3.42,3.42,0,0
aten::any,"1,544",,13.33,20.58,0,2.38,0,0
empty_tensor,,,3.6,3.6,0,0,0,0
aclnnAny,,,3.65,3.65,2.38,2.38,0,0
aten::is_nonzero,,,3.26,103.72,0,0,0,0
aten::item,,,3.84,100.46,0,0,0,0
aten::_local_scalar_dense,,,96.62,96.62,0,0,0,0
aten::ge,"1,544;
",,38.85,68.19,0,2.78,0,0
empty_tensor,,,14.43,14.43,0,0,0,0
aclnnGeScalar,,,14.91,14.91,2.78,2.78,0,0
aten::lt,"1,544;
",,14.86,29.28,0,2.56,0,0
empty_tensor,,,5.07,5.07,0,0,0,0
aclnnLtScalar,,,9.35,9.35,2.56,2.56,0,0
aten::__and__,"1,544;
1,544",,11.49,47.91,0,1.48,0,0
aten::bitwise_and,"1,544;
1,544",,23.68,36.42,0,1.48,0,0
empty_tensor,,,4.14,4.14,0,0,0,0
aclnnBitwiseAndTensor,,,8.6,8.6,1.48,1.48,0,0
aten::sub,"1,544;
;
",,15.7,31.77,0,3.02,0,0
empty_tensor,,,3.54,3.54,0,0,0,0
aten::item,,,1.85,4.4,0,0,0,0
aten::_local_scalar_dense,,,2.55,2.55,0,0,0,0
aclnnSubs,,,8.13,8.13,3.02,3.02,0,0
aten::bitwise_not,"1,544",,14.32,27.51,0,1.34,0,0
empty_tensor,,,5.28,5.28,0,0,0,0
aclnnBitwiseNot,,,7.91,7.91,1.34,1.34,0,0
aten::masked_fill,"1,544;
1,544;
",,8.09,118.13,0,57.58,0,0
aten::clone,"1,544;
",,4.4,60.62,0,0.58,0,0
empty_tensor,,,4.98,4.98,0,0,0,0
aten::copy_,"1,544;
1,544;
",,43.3,51.24,0,0.58,0,0
aclnnInplaceCopy,,,7.94,7.94,0.58,0.58,0,0
aten::masked_fill_,"1,544;
1,544;
",,40.7,49.42,0,57.0,0,0
aclnnInplaceMaskedFillScalar,,,8.72,8.72,57.0,57.0,0,0
aten::embedding,"75968,5120;
1,544;
;
;
",,19.98,37.35,0,14.44,0,0
empty_tensor,,,9.29,9.29,0,0,0,0
aclnnEmbedding,,,8.08,8.08,14.44,14.44,0,0
aten::unsqueeze,"1,544;
",,5.89,11.15,0,0,0,0
aten::as_strided,"1,544;
;
;
",,5.26,5.26,0,0,0,0
aten::bitwise_not,"1,544,1",,12.87,25.87,0,1.36,0,0
empty_tensor,,,4.45,4.45,0,0,0,0
aclnnBitwiseNot,,,8.55,8.55,1.36,1.36,0,0
aten::masked_fill,"1,544,5120;
1,544,1;
",,8.75,67.8,0,43.160000000000004,0,0
aten::expand,"1,544,1;
;
",,3.45,7.28,0,0,0,0
aten::as_strided,"1,544,1;
;
;
",,3.83,3.83,0,0,0,0
aten::expand,"1,544,5120;
;
",,2.42,5.29,0,0,0,0
aten::as_strided,"1,544,5120;
;
;
",,2.87,2.87,0,0,0,0
aten::clone,"1,544,5120;
",,2.71,31.37,0,9.92,0,0
empty_tensor,,,5.94,5.94,0,0,0,0
aten::copy_,"1,544,5120;
1,544,5120;
",,13.66,22.72,0,9.92,0,0
aclnnInplaceCopy,,,9.06,9.06,9.92,9.92,0,0
aten::masked_fill_,"1,544,5120;
1,544,1;
",,10.15,15.11,0,33.24,0,0
aclnnInplaceMaskedFillScalar,,,4.96,4.96,33.24,33.24,0,0
c10d::allreduce_,";
;
;
;
;
",,79.11,121.4,0,30360.36,0,0
record_event,,,12.07,12.07,0.0,0.0,0,0
wait_event,,,8.79,8.79,0.02,0.02,0,0
HcclAllreduce,"1,544,5120",,4.63,11.68,0,30360.300000000003,0,0
HcclAllreduce,,,7.05,7.05,30360.300000000003,30360.300000000003,0,0
record_event,,,6.13,6.13,0.02,0.02,0,0
