Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::empty_strided,";
;
;
;
;
",,5.77,7.56,0,0,0,0
empty_tensor,,,1.79,1.79,0,0,0,0
aten::copy_,"1,6;
1,6;
",,10.16,14.11,0,1.16,0,0
aclnnInplaceCopy,,,3.95,3.95,1.16,1.16,0,0
aten::cumsum,"1,6;
;
",,4.1,60.23,0,65.00125,0,0
aten::cumsum,"1,6;
;
",,48.52,56.13,0,65.00125,0,0
empty_tensor,,,3.43,3.43,0,0,0,0
aclnnCumsum,,,4.18,4.18,65.00125,65.00125,0,0
aten::sub,"1,6;
;
",,15.91,26.32,0,2.98,0,0
empty_tensor,,,3.66,3.66,0,0,0,0
aten::item,,,1.26,3.53,0,0,0,0
aten::_local_scalar_dense,,,2.27,2.27,0,0,0,0
aclnnSubs,,,3.22,3.22,2.98,2.98,0,0
aten::clamp_min,"1,6;
",,14.64,21.28,0,5.44025,0,0
empty_tensor,,,2.8,2.8,0,0,0,0
aclnnClampMin,,,3.84,3.84,5.44025,5.44025,0,0
aten::lt,"1,6;
",,10.52,18.5,0,2.74,0,0
empty_tensor,,,3.62,3.62,0,0,0,0
aclnnLtScalar,,,4.36,4.36,2.74,2.74,0,0
aten::any,"1,6",,12.65,19.25,0,3.32025,0,0
empty_tensor,,,3.52,3.52,0,0,0,0
aclnnAny,,,3.08,3.08,3.32025,3.32025,0,0
aten::is_nonzero,,,1.54,53.33,0,0,0,0
aten::item,,,1.43,51.79,0,0,0,0
aten::_local_scalar_dense,,,50.36,50.36,0,0,0,0
aten::ge,"1,6;
",,14.71,22.62,0,2.96025,0,0
empty_tensor,,,3.69,3.69,0,0,0,0
aclnnGeScalar,,,4.22,4.22,2.96025,2.96025,0,0
aten::any,"1,6",,10.86,15.95,0,2.36,0,0
empty_tensor,,,3.02,3.02,0,0,0,0
aclnnAny,,,2.07,2.07,2.36,2.36,0,0
aten::is_nonzero,,,2.0,38.62,0,0,0,0
aten::item,,,1.71,36.62,0,0,0,0
aten::_local_scalar_dense,,,34.91,34.91,0,0,0,0
aten::ge,"1,6;
",,10.44,18.03,0,2.48025,0,0
empty_tensor,,,3.43,3.43,0,0,0,0
aclnnGeScalar,,,4.16,4.16,2.48025,2.48025,0,0
aten::lt,"1,6;
",,9.86,16.25,0,2.32,0,0
empty_tensor,,,2.88,2.88,0,0,0,0
aclnnLtScalar,,,3.51,3.51,2.32,2.32,0,0
aten::__and__,"1,6;
1,6",,4.72,43.03,0,1.38025,0,0
aten::bitwise_and,"1,6;
1,6",,30.94,38.31,0,1.38025,0,0
empty_tensor,,,3.2,3.2,0,0,0,0
aclnnBitwiseAndTensor,,,4.17,4.17,1.38025,1.38025,0,0
aten::sub,"1,6;
;
",,12.09,20.49,0,2.36,0,0
empty_tensor,,,2.99,2.99,0,0,0,0
aten::item,,,0.98,2.04,0,0,0,0
aten::_local_scalar_dense,,,1.06,1.06,0,0,0,0
aclnnSubs,,,3.37,3.37,2.36,2.36,0,0
aten::bitwise_not,"1,6",,9.76,16.06,0,1.24,0,0
empty_tensor,,,2.69,2.69,0,0,0,0
aclnnBitwiseNot,,,3.61,3.61,1.24,1.24,0,0
aten::masked_fill,"1,6;
1,6;
",,6.23,80.66,0,56.001,0,0
aten::clone,"1,6;
",,3.71,40.48,0,0.76,0,0
empty_tensor,,,3.48,3.48,0,0,0,0
aten::copy_,"1,6;
1,6;
",,28.67,33.29,0,0.76,0,0
aclnnInplaceCopy,,,4.62,4.62,0.76,0.76,0,0
aten::masked_fill_,"1,6;
1,6;
",,30.31,33.95,0,55.241,0,0
aclnnInplaceMaskedFillScalar,,,3.64,3.64,55.241,55.241,0,0
aten::embedding,"75968,5120;
1,6;
;
;
",,14.75,23.35,0,3.68025,0,0
empty_tensor,,,4.86,4.86,0,0,0,0
aclnnEmbedding,,,3.74,3.74,3.68025,3.68025,0,0
aten::unsqueeze,"1,6;
",,5.35,9.7,0,0,0,0
aten::as_strided,"1,6;
;
;
",,4.35,4.35,0,0,0,0
aten::bitwise_not,"1,6,1",,8.67,16.46,0,1.32,0,0
empty_tensor,,,3.23,3.23,0,0,0,0
aclnnBitwiseNot,,,4.56,4.56,1.32,1.32,0,0
aten::masked_fill,"1,6,5120;
1,6,1;
",,7.44,62.32,0,16.8005,0,0
aten::expand,"1,6,1;
;
",,3.85,6.82,0,0,0,0
aten::as_strided,"1,6,1;
;
;
",,2.97,2.97,0,0,0,0
aten::expand,"1,6,5120;
;
",,2.17,4.41,0,0,0,0
aten::as_strided,"1,6,5120;
;
;
",,2.24,2.24,0,0,0,0
aten::clone,"1,6,5120;
",,2.45,31.97,0,0.68,0,0
empty_tensor,,,4.18,4.18,0,0,0,0
aten::copy_,"1,6,5120;
1,6,5120;
",,21.31,25.34,0,0.68,0,0
aclnnInplaceCopy,,,4.03,4.03,0.68,0.68,0,0
aten::masked_fill_,"1,6,5120;
1,6,1;
",,10.21,11.68,0,16.1205,0,0
aclnnInplaceMaskedFillScalar,,,1.47,1.47,16.1205,16.1205,0,0
c10d::allreduce_,";
;
;
;
;
",,56.06,74.68,0,1032.34125,0,0
record_event,,,7.22,7.22,0.02,0.02,0,0
wait_event,,,2.57,2.57,0.02,0.02,0,0
HcclAllreduce,"1,6,5120",,3.38,4.74,0,1032.26125,0,0
HcclAllreduce,,,1.36,1.36,1032.26125,1032.26125,0,0
record_event,,,2.35,2.35,0.02,0.02,0,0
record_event,,,1.74,1.74,0.02,0.02,0,0
wait_event,,,2.16,2.16,288.90575,288.90575,0,0
destroy_event,,,1.31,1.31,0,0,0,0
aten::to,"64;
;
;
;
",,2.37,2.37,0,0,0,0
aten::to,"1,6;
;
;
;
",,2.16,39.77,0,1.54,0,0
aten::_to_copy,"1,6;
;
;
;
;
;
",,6.29,37.61,0,1.54,0,0
aten::empty_strided,";
;
;
;
;
",,7.56,11.64,0,0,0,0
empty_tensor,,,4.08,4.08,0,0,0,0
aten::copy_,"1,6;
1,6;
",,17.48,19.68,0,1.54,0,0
aclnnInplaceCopy,,,2.2,2.2,1.54,1.54,0,0
