Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::view,";
",,2.75,2.75,0,0,0,0
aten::expand,";
;
",,1.68,3.41,0,0,0,0
aten::as_strided,";
;
;
",,1.73,1.73,0,0,0,0
aten::copy_,"6;
6;
",,12.78,19.97,0,3.94025,0,0
aclnnInplaceCopy,,,7.19,7.19,3.94025,3.94025,0,0
aten::empty,";
;
;
;
;
",,3.52,3.52,0,0,0,0
aten::to,"8;
;
;
;
;
",,1.69,57.6,0,0,0,0
aten::_to_copy,"8;
;
;
;
;
;
",,3.8,55.91,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,4.3,11.84,0,0,0,0
empty_tensor,,,7.54,7.54,0,0,0,0
aten::copy_,"8;
8;
",,40.27,40.27,0,0,0,0
aten::lift_fresh,8,,0.9,0.9,0,0,0,0
aten::detach_,8,,0.71,0.71,0,0,0,0
aten::select,"4,8;
;
",,3.12,5.41,0,0,0,0
aten::as_strided,"4,8;
;
;
",,2.29,2.29,0,0,0,0
aten::copy_,"8;
8;
",,31.4,38.77,0,0.60025,0,0
aclnnInplaceCopy,,,7.37,7.37,0.60025,0.60025,0,0
aten::scalar_tensor,";
;
;
;
",,7.06,33.19,0,1.36,0,0
aten::empty,";
;
;
;
;
",,2.15,6.0,0,0,0,0
empty_tensor,,,3.85,3.85,0,0,0,0
aten::fill_,";
",,10.34,20.13,0,1.36,0,0
aclnnInplaceFillScalar,,,9.79,9.79,1.36,1.36,0,0
aten::select,"4,8;
;
",,2.72,7.92,0,0,0,0
aten::as_strided,"4,8;
;
;
",,5.2,5.2,0,0,0,0
aten::view,";
",,1.98,1.98,0,0,0,0
aten::expand,";
;
",,1.98,3.47,0,0,0,0
aten::as_strided,";
;
;
",,1.49,1.49,0,0,0,0
aten::copy_,"8;
8;
",,15.01,22.3,0,4.08,0,0
aclnnInplaceCopy,,,7.29,7.29,4.08,4.08,0,0
minigpt::prefill_model,,,49407.25,300151.16,0,289858.78075,0,10351.0245
aten::to,"4,8;
;
;
;
",,6.61,69.04,0,1.26,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,24.73,62.43,0,1.26,0,0
aten::empty_strided,";
;
;
;
;
",,6.1,9.38,0,0,0,0
empty_tensor,,,3.28,3.28,0,0,0,0
aten::copy_,"4,8;
4,8;
",,19.32,28.32,0,1.26,0,0
aclnnInplaceCopy,,,9.0,9.0,1.26,1.26,0,0
aten::sum,"4,8;
;
;
",,23.16,34.08,0,3.14,0,0
empty_tensor,,,4.6,4.6,0,0,0,0
aclnnReduceSum,,,6.32,6.32,3.14,3.14,0,0
aten::le,"4;
",,15.9,24.22,0,2.98025,0,0
empty_tensor,,,2.64,2.64,0,0,0,0
aclnnLeScalar,,,5.68,5.68,2.98025,2.98025,0,0
aten::any,4,,15.77,24.32,0,3.24,0,0
empty_tensor,,,2.82,2.82,0,0,0,0
aclnnAny,,,5.73,5.73,3.24,3.24,0,0
aten::is_nonzero,,,4.89,82.97,0,0,0,0
aten::item,,,1.91,78.08,0,0,0,0
aten::_local_scalar_dense,,,76.17,76.17,0,0,0,0
aten::arange,";
;
;
;
",,19.39,30.49,0,9.70025,0,0
empty_tensor,,,4.17,4.17,0,0,0,0
aclnnArange,,,6.93,6.93,9.70025,9.70025,0,0
aten::expand_as,"8;
4,8",,6.34,15.05,0,0,0,0
aten::expand,"8;
;
",,4.37,8.71,0,0,0,0
aten::as_strided,"8;
;
;
",,4.34,4.34,0,0,0,0
aten::to,"4,8;
;
;
;
",,2.03,2.03,0,0,0,0
aten::bitwise_not,"4,8",,16.33,26.11,0,1.4,0,0
empty_tensor,,,3.43,3.43,0,0,0,0
aclnnBitwiseNot,,,6.35,6.35,1.4,1.4,0,0
aten::masked_fill,"4,8;
4,8;
",,31.64,169.55,0,102.92200000000001,0,0
aten::clone,"4,8;
",,5.18,41.83,0,2.18,0,0
empty_tensor,,,16.71,16.71,0,0,0,0
aten::copy_,"4,8;
4,8;
",,12.64,19.94,0,2.18,0,0
aclnnInplaceCopy,,,7.3,7.3,2.18,2.18,0,0
aten::masked_fill_,"4,8;
4,8;
",,73.84,96.08,0,100.742,0,0
aclnnInplaceMaskedFillScalar,,,22.24,22.24,100.742,100.742,0,0
aten::max,"4,8;
;
",,22.15,31.86,0,3.8,0,0
empty_tensor,,,4.47,4.47,0,0,0,0
empty_tensor,,,3.84,3.84,0,0,0,0
aclnnMaxDim,,,1.4,1.4,3.8,3.8,0,0
aten::lt,"4;
",,13.48,23.28,0,2.62,0,0
empty_tensor,,,3.09,3.09,0,0,0,0
aclnnLtScalar,,,6.71,6.71,2.62,2.62,0,0
aten::any,4,,16.09,22.83,0,1.9,0,0
empty_tensor,,,3.74,3.74,0,0,0,0
aclnnAny,,,3.0,3.0,1.9,1.9,0,0
aten::is_nonzero,,,2.4,70.68,0,0,0,0
aten::item,,,1.62,68.28,0,0,0,0
aten::_local_scalar_dense,,,66.66,66.66,0,0,0,0
aten::empty,";
;
;
;
;
",,10.27,10.27,0,0,0,0
aten::to,"4;
;
;
;
;
",,2.67,47.83,0,0,0,0
aten::_to_copy,"4;
;
;
;
;
;
",,5.42,45.16,0,0,0,0
aten::empty_strided,";
;
;
;
;
",,6.49,9.57,0,0,0,0
empty_tensor,,,3.08,3.08,0,0,0,0
aten::copy_,"4;
4;
",,30.17,30.17,0,0,0,0
aten::lift_fresh,4,,1.16,1.16,0,0,0,0
aten::detach_,4,,0.43,0.43,0,0,0,0
aten::to,"4,8;
;
;
;
",,4.86,43.81,0,1.18,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,4.51,38.95,0,1.18,0,0
aten::empty_strided,";
;
;
;
;
",,6.03,8.11,0,0,0,0
empty_tensor,,,2.08,2.08,0,0,0,0
aten::copy_,"4,8;
4,8;
",,17.42,26.33,0,1.18,0,0
aclnnInplaceCopy,,,8.91,8.91,1.18,1.18,0,0
aten::sum,"4,8;
;
;
",,5.61,33.72,0,2.48,0,0
aten::sum,"4,8;
;
;
",,15.91,28.11,0,2.48,0,0
empty_tensor,,,4.4,4.4,0,0,0,0
aclnnReduceSum,,,7.8,7.8,2.48,2.48,0,0
aten::le,"4;
",,11.14,37.84,0,2.52,0,0
empty_tensor,,,2.55,2.55,0,0,0,0
aclnnLeScalar,,,24.15,24.15,2.52,2.52,0,0
aten::any,4,,14.8,27.27,0,2.14,0,0
empty_tensor,,,5.36,5.36,0,0,0,0
aclnnAny,,,7.11,7.11,2.14,2.14,0,0
aten::is_nonzero,,,2.19,70.21,0,0,0,0
aten::item,,,2.51,68.02,0,0,0,0
aten::_local_scalar_dense,,,65.51,65.51,0,0,0,0
aten::max,4,,17.08,26.97,0,2.10025,0,0
empty_tensor,,,3.06,3.06,0,0,0,0
aclnnMax,,,6.83,6.83,2.10025,2.10025,0,0
aten::item,,,1.61,69.21,0,0,0,0
aten::_local_scalar_dense,,,67.6,67.6,0,0,0,0
aten::to,"4;
;
;
;
;
",,2.8,2.8,0,0,0,0
aten::lt,"4;
",,10.75,21.28,0,2.52,0,0
empty_tensor,,,3.47,3.47,0,0,0,0
aclnnLtScalar,,,7.06,7.06,2.52,2.52,0,0
aten::any,4,,11.95,18.42,0,1.96,0,0
empty_tensor,,,3.21,3.21,0,0,0,0
aclnnAny,,,3.26,3.26,1.96,1.96,0,0
aten::item,,,1.54,52.38,0,0,0,0
aten::_local_scalar_dense,,,50.84,50.84,0,0,0,0
aten::ge,"4;
",,13.01,23.58,0,2.76,0,0
empty_tensor,,,3.3,3.3,0,0,0,0
aclnnGeScalar,,,7.27,7.27,2.76,2.76,0,0
aten::any,4,,10.85,17.23,0,1.86,0,0
empty_tensor,,,3.13,3.13,0,0,0,0
aclnnAny,,,3.25,3.25,1.86,1.86,0,0
aten::item,,,1.42,69.85,0,0,0,0
aten::_local_scalar_dense,,,68.43,68.43,0,0,0,0
aten::_unique2,"4;
;
;
",,397.06,418.18,0,165.18325,0,0
empty_tensor,,,3.14,3.14,0,0,0,0
empty_tensor,,,1.46,1.46,0,0,0,0
empty_tensor,,,1.1,1.1,0,0,0,0
aclnnUnique2,,,8.54,8.54,165.18325,165.18325,0,0
aten::resize_,"4;
;
",,4.42,4.42,0,0,0,0
empty_tensor,,,2.46,2.46,0,0,0,0
aten::index,"4;
",,26.98,38.33,0,12.260250000000001,0,0
empty_tensor,,,1.7,1.7,0,0,0,0
empty_tensor,,,2.57,2.57,0,0,0,0
aclnnIndex,,,7.08,7.08,12.260250000000001,12.260250000000001,0,0
aten::zero_,4,,9.07,12.54,0,1.54,0,0
aclnnInplaceZero,,,3.47,3.47,1.54,1.54,0,0
aten::max,4,,12.39,17.36,0,1.94025,0,0
empty_tensor,,,2.64,2.64,0,0,0,0
aclnnMax,,,2.33,2.33,1.94025,1.94025,0,0
aten::item,,,1.68,91.78,0,0,0,0
aten::_local_scalar_dense,,,90.1,90.1,0,0,0,0
aten::to,"4,8;
;
;
;
",,3.8,38.03,0,1.26,0,0
aten::_to_copy,"4,8;
;
;
;
;
;
",,5.78,34.23,0,1.26,0,0
aten::empty_strided,";
;
;
;
;
",,5.38,7.59,0,0,0,0
empty_tensor,,,2.21,2.21,0,0,0,0
aten::copy_,"4,8;
4,8;
",,13.11,20.86,0,1.26,0,0
aclnnInplaceCopy,,,7.75,7.75,1.26,1.26,0,0
aten::cumsum,"4,8;
;
",,4.68,80.55,0,49.30075,0,0
aten::cumsum,"4,8;
;
",,65.03,75.87,0,49.30075,0,0
empty_tensor,,,3.96,3.96,0,0,0,0
aclnnCumsum,,,6.88,6.88,49.30075,49.30075,0,0
aten::sub,"4,8;
;
",,20.14,31.6,0,2.84025,0,0
empty_tensor,,,2.94,2.94,0,0,0,0
aten::item,,,1.15,4.75,0,0,0,0
aten::_local_scalar_dense,,,3.6,3.6,0,0,0,0
aclnnSubs,,,3.77,3.77,2.84025,2.84025,0,0
aten::clamp_min,"4,8;
",,16.79,22.94,0,5.18,0,0
empty_tensor,,,2.69,2.69,0,0,0,0
aclnnClampMin,,,3.46,3.46,5.18,5.18,0,0
aten::lt,"4,8;
",,11.49,22.4,0,2.28,0,0
empty_tensor,,,2.74,2.74,0,0,0,0
aclnnLtScalar,,,8.17,8.17,2.28,2.28,0,0
