Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::sub,"1,544;
;
",,13.15,21.25,0,2.80025,0,0
empty_tensor,,,3.33,3.33,0,0,0,0
aten::item,,,1.18,2.86,0,0,0,0
aten::_local_scalar_dense,,,1.68,1.68,0,0,0,0
aclnnSubs,,,1.91,1.91,2.80025,2.80025,0,0
aten::bitwise_not,"1,544",,10.91,18.37,0,1.3,0,0
empty_tensor,,,3.89,3.89,0,0,0,0
aclnnBitwiseNot,,,3.57,3.57,1.3,1.3,0,0
aten::masked_fill,"1,544;
1,544;
",,10.22,101.57,0,124.00250000000001,0,0
aten::clone,"1,544;
",,5.15,50.86,0,0.54,0,0
empty_tensor,,,3.7,3.7,0,0,0,0
aten::copy_,"1,544;
1,544;
",,37.43,42.01,0,0.54,0,0
aclnnInplaceCopy,,,4.58,4.58,0.54,0.54,0,0
aten::masked_fill_,"1,544;
1,544;
",,35.94,40.49,0,123.4625,0,0
aclnnInplaceMaskedFillScalar,,,4.55,4.55,123.4625,123.4625,0,0
aten::embedding,"75968,5120;
1,544;
;
;
",,19.98,60.35,0,17.08025,0,0
empty_tensor,,,35.85,35.85,0,0,0,0
aclnnEmbedding,,,4.52,4.52,17.08025,17.08025,0,0
aten::unsqueeze,"1,544;
",,7.16,12.51,0,0,0,0
aten::as_strided,"1,544;
;
;
",,5.35,5.35,0,0,0,0
aten::bitwise_not,"1,544,1",,9.7,15.59,0,1.4,0,0
empty_tensor,,,3.88,3.88,0,0,0,0
aclnnBitwiseNot,,,2.01,2.01,1.4,1.4,0,0
aten::masked_fill,"1,544,5120;
1,544,1;
",,10.05,81.18,0,47.521,0,0
aten::expand,"1,544,1;
;
",,5.17,7.91,0,0,0,0
aten::as_strided,"1,544,1;
;
;
",,2.74,2.74,0,0,0,0
aten::expand,"1,544,5120;
;
",,1.99,4.48,0,0,0,0
aten::as_strided,"1,544,5120;
;
;
",,2.49,2.49,0,0,0,0
aten::clone,"1,544,5120;
",,2.81,45.72,0,11.20025,0,0
empty_tensor,,,23.01,23.01,0,0,0,0
aten::copy_,"1,544,5120;
1,544,5120;
",,15.08,19.9,0,11.20025,0,0
aclnnInplaceCopy,,,4.82,4.82,11.20025,11.20025,0,0
aten::masked_fill_,"1,544,5120;
1,544,1;
",,11.22,13.02,0,36.32075,0,0
aclnnInplaceMaskedFillScalar,,,1.8,1.8,36.32075,36.32075,0,0
c10d::allreduce_,";
;
;
;
;
",,176.2,215.74,0,863.9565,0,0
record_event,,,23.13,23.13,0.02,0.02,0,0
wait_event,,,4.32,4.32,0.0,0.0,0,0
HcclAllreduce,"1,544,5120",,3.74,5.19,0,863.8965000000001,0,0
HcclAllreduce,,,1.45,1.45,863.8965000000001,863.8965000000001,0,0
record_event,,,4.64,4.64,0.02,0.02,0,0
record_event,,,2.26,2.26,0.02,0.02,0,0
wait_event,,,2.35,2.35,193.004,193.004,0,0
destroy_event,,,1.87,1.87,0,0,0,0
aten::to,"64;
;
;
;
",,2.75,2.75,0,0,0,0
aten::to,"1,544;
;
;
;
",,2.31,43.61,0,1.34,0,0
aten::_to_copy,"1,544;
;
;
;
;
;
",,6.87,41.3,0,1.34,0,0
aten::empty_strided,";
;
;
;
;
",,8.73,13.06,0,0,0,0
empty_tensor,,,4.33,4.33,0,0,0,0
aten::copy_,"1,544;
1,544;
",,18.45,21.37,0,1.34,0,0
aclnnInplaceCopy,,,2.92,2.92,1.34,1.34,0,0
aten::einsum,";
;
",,67.77,133.13,0,12.16,0,0
aten::unsqueeze,"64;
",,10.75,14.99,0,0,0,0
aten::as_strided,"64;
;
;
",,4.24,4.24,0,0,0,0
aten::unsqueeze,"64,1;
",,3.02,5.36,0,0,0,0
